0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1137.0,664.0,344.0,301.0,1200.0,157.0,334.0,842.0,9.0,141.0,367.0,145.0,598.0,69.0,437.0,224.0,321.0,699.0,88.0,99.0,437.0
329.0,175.0,101.0,69.0,321.0,51.0,87.0,215.0,8.0,28.0,103.0,35.0,114.0,5.0,100.0,67.0,89.0,185.0,45.0,31.0,86.0
198.0,99.0,50.0,64.0,202.0,22.0,57.0,134.0,3.0,23.0,54.0,30.0,80.0,37.0,77.0,26.0,74.0,117.0,22.0,20.0,53.0
83.0,59.0,15.0,20.0,67.0,11.0,25.0,53.0,0.0,0.0,6.0,0.0,20.0,6.0,17.0,5.0,21.0,31.0,3.0,5.0,17.0
111.0,84.0,30.0,46.0,123.0,28.0,40.0,113.0,1.0,22.0,48.0,10.0,39.0,0.0,64.0,4.0,35.0,35.0,10.0,10.0,37.0
474.0,204.0,158.0,87.0,577.0,86.0,118.0,412.0,16.0,18.0,68.0,76.0,211.0,34.0,250.0,80.0,164.0,308.0,37.0,76.0,192.0
207.0,127.0,77.0,64.0,196.0,25.0,45.0,156.0,3.0,85.0,42.0,21.0,100.0,33.0,112.0,27.0,61.0,78.0,14.0,21.0,68.0
37.0,13.0,3.0,3.0,41.0,0.0,4.0,5.0,0.0,11.0,34.0,6.0,4.0,3.0,4.0,0.0,12.0,12.0,0.0,0.0,13.0
55.0,10.0,4.0,2.0,51.0,8.0,12.0,30.0,3.0,0.0,13.0,2.0,16.0,4.0,8.0,8.0,13.0,21.0,0.0,7.0,4.0
378.0,191.0,133.0,83.0,545.0,66.0,93.0,349.0,13.0,31.0,151.0,31.0,177.0,21.0,188.0,76.0,142.0,301.0,34.0,25.0,116.0
498.0,388.0,169.0,161.0,479.0,67.0,203.0,479.0,13.0,87.0,58.0,74.0,204.0,71.0,226.0,76.0,202.0,234.0,37.0,36.0,157.0
63.0,25.0,18.0,5.0,62.0,14.0,5.0,19.0,0.0,6.0,39.0,11.0,12.0,7.0,19.0,0.0,14.0,20.0,8.0,16.0,15.0
67.0,9.0,16.0,4.0,49.0,13.0,11.0,29.0,0.0,3.0,24.0,13.0,13.0,0.0,8.0,3.0,16.0,30.0,0.0,3.0,12.0
57.0,80.0,38.0,11.0,62.0,15.0,25.0,47.0,0.0,4.0,12.0,18.0,31.0,2.0,23.0,5.0,35.0,24.0,11.0,4.0,38.0
58.0,21.0,19.0,16.0,47.0,6.0,16.0,32.0,0.0,7.0,11.0,4.0,22.0,1.0,4.0,8.0,7.0,48.0,7.0,4.0,21.0
353.0,180.0,102.0,91.0,387.0,60.0,98.0,300.0,6.0,12.0,38.0,51.0,135.0,12.0,179.0,82.0,132.0,169.0,45.0,36.0,119.0
380.0,462.0,222.0,104.0,390.0,29.0,161.0,356.0,10.0,128.0,50.0,72.0,145.0,80.0,142.0,49.0,159.0,142.0,4.0,36.0,242.0
62.0,23.0,37.0,20.0,110.0,17.0,11.0,52.0,0.0,0.0,7.0,7.0,28.0,3.0,35.0,13.0,15.0,21.0,15.0,9.0,39.0
143.0,58.0,33.0,17.0,221.0,37.0,38.0,74.0,4.0,8.0,54.0,12.0,49.0,14.0,49.0,2.0,32.0,49.0,25.0,15.0,31.0
81.0,18.0,10.0,14.0,72.0,21.0,8.0,35.0,0.0,3.0,4.0,3.0,22.0,0.0,26.0,3.0,24.0,34.0,5.0,8.0,15.0
622.0,351.0,267.0,148.0,589.0,105.0,173.0,612.0,9.0,61.0,71.0,113.0,252.0,59.0,293.0,136.0,214.0,428.0,50.0,73.0,288.0
196.0,97.0,56.0,39.0,186.0,28.0,57.0,142.0,4.0,19.0,14.0,14.0,35.0,4.0,83.0,22.0,75.0,93.0,22.0,21.0,59.0
76.0,12.0,16.0,12.0,70.0,8.0,4.0,39.0,0.0,4.0,7.0,2.0,24.0,0.0,10.0,4.0,12.0,38.0,9.0,3.0,10.0
242.0,125.0,89.0,54.0,355.0,69.0,77.0,170.0,11.0,21.0,63.0,9.0,128.0,10.0,123.0,22.0,93.0,166.0,38.0,38.0,81.0
430.0,346.0,229.0,122.0,487.0,64.0,196.0,369.0,7.0,35.0,28.0,82.0,160.0,46.0,216.0,80.0,171.0,211.0,25.0,63.0,211.0
40.0,44.0,29.0,10.0,94.0,0.0,12.0,20.0,0.0,0.0,11.0,4.0,4.0,4.0,7.0,19.0,4.0,13.0,0.0,0.0,38.0
31.0,12.0,3.0,8.0,44.0,3.0,11.0,10.0,0.0,0.0,19.0,1.0,2.0,1.0,10.0,0.0,5.0,5.0,5.0,0.0,9.0
99.0,115.0,32.0,32.0,46.0,0.0,34.0,72.0,0.0,19.0,4.0,35.0,28.0,12.0,24.0,20.0,48.0,16.0,0.0,4.0,86.0
224.0,105.0,130.0,47.0,313.0,34.0,33.0,74.0,5.0,4.0,17.0,18.0,180.0,0.0,51.0,43.0,48.0,105.0,12.0,27.0,167.0
33.0,26.0,29.0,4.0,39.0,12.0,3.0,16.0,0.0,0.0,0.0,8.0,20.0,7.0,8.0,16.0,12.0,0.0,3.0,6.0,28.0
59.0,40.0,20.0,12.0,100.0,11.0,18.0,29.0,0.0,8.0,8.0,3.0,28.0,3.0,23.0,3.0,16.0,30.0,3.0,6.0,19.0
746.0,431.0,342.0,148.0,880.0,84.0,176.0,552.0,8.0,33.0,140.0,99.0,468.0,53.0,267.0,192.0,206.0,610.0,75.0,112.0,340.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
858.0,669.0,318.0,243.0,830.0,104.0,260.0,651.0,15.0,128.0,239.0,173.0,371.0,95.0,293.0,194.0,285.0,527.0,69.0,93.0,399.0
51.0,35.0,15.0,7.0,23.0,0.0,14.0,23.0,0.0,7.0,0.0,0.0,7.0,4.0,4.0,5.0,8.0,4.0,0.0,6.0,19.0
458.0,430.0,221.0,110.0,528.0,66.0,173.0,357.0,9.0,41.0,22.0,107.0,137.0,65.0,166.0,94.0,149.0,206.0,33.0,48.0,253.0
7.0,2.0,0.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,6.0,0.0,1.0,21.0,5.0,0.0,2.0,0.0,5.0,16.0,0.0,4.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,1.0
611.0,412.0,234.0,172.0,837.0,88.0,211.0,448.0,5.0,90.0,184.0,91.0,271.0,41.0,278.0,99.0,199.0,291.0,30.0,73.0,270.0
19.0,27.0,5.0,0.0,22.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,4.0,3.0,0.0,4.0
80.0,151.0,63.0,33.0,135.0,8.0,46.0,68.0,5.0,5.0,11.0,9.0,40.0,33.0,32.0,26.0,35.0,58.0,11.0,12.0,97.0
108.0,41.0,39.0,22.0,94.0,15.0,17.0,95.0,0.0,0.0,5.0,12.0,27.0,3.0,40.0,4.0,28.0,35.0,12.0,8.0,29.0
82.0,71.0,33.0,24.0,50.0,5.0,52.0,34.0,0.0,8.0,8.0,4.0,32.0,14.0,23.0,15.0,11.0,35.0,10.0,13.0,48.0
135.0,41.0,30.0,28.0,155.0,32.0,22.0,94.0,5.0,2.0,44.0,15.0,60.0,0.0,39.0,15.0,15.0,74.0,15.0,25.0,21.0
292.0,151.0,129.0,68.0,223.0,21.0,77.0,171.0,4.0,25.0,19.0,33.0,114.0,17.0,88.0,46.0,100.0,101.0,17.0,36.0,131.0
64.0,83.0,30.0,26.0,66.0,3.0,32.0,49.0,0.0,10.0,10.0,0.0,31.0,7.0,25.0,4.0,30.0,9.0,0.0,2.0,35.0
602.0,299.0,219.0,176.0,837.0,106.0,159.0,480.0,9.0,38.0,90.0,102.0,269.0,12.0,259.0,122.0,152.0,341.0,65.0,84.0,248.0
167.0,101.0,52.0,42.0,202.0,22.0,65.0,50.0,6.0,38.0,81.0,15.0,52.0,6.0,52.0,10.0,32.0,60.0,9.0,8.0,67.0
0.0,15.0,10.0,4.0,12.0,0.0,4.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,8.0,8.0,0.0,5.0,18.0
975.0,666.0,335.0,236.0,1325.0,174.0,278.0,867.0,24.0,64.0,101.0,186.0,553.0,80.0,479.0,226.0,330.0,531.0,86.0,116.0,422.0
212.0,177.0,144.0,37.0,197.0,16.0,51.0,132.0,5.0,24.0,23.0,44.0,49.0,19.0,81.0,51.0,78.0,63.0,7.0,31.0,128.0
0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0
10.0,2.0,0.0,0.0,26.0,0.0,0.0,5.0,0.0,3.0,44.0,1.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,3.0
24.0,17.0,15.0,18.0,9.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,3.0,0.0,4.0,25.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0
59.0,43.0,21.0,8.0,40.0,9.0,18.0,27.0,0.0,3.0,5.0,0.0,14.0,7.0,10.0,0.0,18.0,20.0,3.0,8.0,24.0
259.0,338.0,132.0,39.0,201.0,13.0,97.0,204.0,0.0,26.0,8.0,32.0,111.0,51.0,108.0,65.0,84.0,88.0,3.0,23.0,169.0
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
171.0,87.0,68.0,27.0,118.0,29.0,51.0,125.0,6.0,29.0,83.0,16.0,55.0,13.0,34.0,27.0,36.0,77.0,24.0,9.0,62.0
45.0,7.0,2.0,6.0,25.0,7.0,8.0,22.0,0.0,4.0,4.0,4.0,7.0,3.0,20.0,0.0,8.0,13.0,5.0,0.0,11.0
243.0,214.0,70.0,71.0,284.0,50.0,111.0,208.0,3.0,41.0,43.0,35.0,119.0,37.0,116.0,28.0,85.0,139.0,5.0,19.0,79.0
59.0,4.0,10.0,14.0,95.0,20.0,8.0,5.0,0.0,4.0,16.0,0.0,11.0,4.0,20.0,0.0,4.0,13.0,9.0,4.0,17.0
29.0,14.0,11.0,8.0,25.0,7.0,7.0,16.0,0.0,2.0,4.0,8.0,0.0,0.0,12.0,0.0,9.0,9.0,3.0,5.0,10.0
47.0,11.0,7.0,16.0,74.0,14.0,8.0,16.0,0.0,4.0,18.0,5.0,11.0,0.0,12.0,3.0,10.0,14.0,1.0,12.0,12.0
26.0,3.0,7.0,3.0,38.0,5.0,3.0,15.0,4.0,0.0,2.0,1.0,7.0,0.0,10.0,2.0,11.0,16.0,5.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4.0,13.0,13.0,6.0,12.0,3.0,8.0,34.0,3.0,8.0,6.0,8.0,15.0,0.0,17.0,17.0,3.0,8.0,0.0,6.0,23.0
